date,ticker,market_cap
2024-08-19,AAPL,3317726846840
2024-08-19,ABNB,70711213640
2024-08-19,ADBE,223840200000
2024-08-19,ADI,110057316462
2024-08-19,ADP,105789677731
2024-08-19,ADSK,53020683979
2024-08-19,AEP,53072001700
2024-08-19,AMAT,167477711460
2024-08-19,AMD,253199568000
2024-08-19,AMGN,177008032760
2024-08-19,AMZN,1917130362000
2024-08-19,APP,28830330894
2024-08-19,ARGX,32598207156
2024-08-19,ASML,359652798302
2024-08-19,AVGO,797893741800
2024-08-19,AXON,30070216866
2024-08-19,AZN,127489469752
2024-08-19,BKNG,114743998655
2024-08-19,BKR,34881146040
2024-08-19,CCEP,34194268700
2024-08-19,CDNS,77769079360
2024-08-19,CEG,69227687416
2024-08-19,CMCSA,143817934024
2024-08-19,CME,75685297720
2024-08-19,COHR,12283228640
2024-08-19,COIN,53866927734
2024-08-19,COST,386868905650
2024-08-19,CSCO,196992904507
2024-08-19,CSX,62507829600
2024-08-19,CTAS,77328407750
2024-08-19,DDOG,41722092815
2024-08-19,EA,37529902170
2024-08-19,EBAY,25165920000
2024-08-19,EQIX,81895563196
2024-08-19,EXC,38482858221
2024-08-19,FANG,55092337920
2024-08-19,FAST,38206771200
2024-08-19,FITB,37222233840
2024-08-19,FLEX,11713474041
2024-08-19,FTNT,54780120195
2024-08-19,GILD,92434877119
2024-08-19,GOOG,2040216937632
2024-08-19,GOOGL,2015852031734
2024-08-19,HON,63061158104
2024-08-19,HOOD,18262243590
2024-08-19,IBKR,52439099368
2024-08-19,IDXX,39204061673
2024-08-19,INTC,108159520000
2024-08-19,INTU,181437092100
2024-08-19,ISRG,170763232080
2024-08-19,JD,41469724599
2024-08-19,KDP,48463128357
2024-08-19,KLAC,107180274000
2024-08-19,LITE,4109396000
2024-08-19,LRCX,110212734100
2024-08-19,MAR,59369493468
2024-08-19,MCHP,44542946240
2024-08-19,MDLZ,90997931912
2024-08-19,MELI,102813885096
2024-08-19,META,1343536642411
2024-08-19,MNST,45575177926
2024-08-19,MPWR,45062527300
2024-08-19,MRVL,62214416640
2024-08-19,MSFT,3131306097900
2024-08-19,MU,122685635700
2024-08-19,NDAQ,39570903770
2024-08-19,NFLX,289913580000
2024-08-19,NTES,59085894462
2024-08-19,NTRA,17727152700
2024-08-19,NVDA,3148730000000
2024-08-19,NXPI,65198131441
2024-08-19,ODFL,41626931525
2024-08-19,ORLY,61963026457
2024-08-19,PANW,117001863933
2024-08-19,PAYX,44524676000
2024-08-19,PCAR,50507689397
2024-08-19,PDD,215089437408
2024-08-19,PEP,237438120000
2024-08-19,PYPL,61244584310
2024-08-19,QCOM,183670040000
2024-08-19,REGN,123304970163
2024-08-19,RKLB,4162057145
2024-08-19,ROST,47283130602
2024-08-19,RVMD,9279815400
2024-08-19,SBUX,105194310000
2024-08-19,SNPS,106887588243
2024-08-19,SNY,131081042741
2024-08-19,STX,23310846840
2024-08-19,TER,20973518865
2024-08-19,TMUS,213822007787
2024-08-19,TSLA,836473958400
2024-08-19,TTWO,27942832782
2024-08-19,TXN,182619261380
2024-08-19,VRTX,123869733279
2024-08-19,WBD,19129453036
2024-08-19,WDAY,60935592119
2024-08-19,WDC,16954907580
2024-08-19,XEL,37549813974
2024-08-20,AAPL,3326833007560
2024-08-20,ABNB,69666629655
2024-08-20,ADBE,223494375000
2024-08-20,ADI,108859082346
2024-08-20,ADP,105745706960
2024-08-20,ADSK,52813761633
2024-08-20,AEP,53126412200
2024-08-20,AMAT,163682587440
2024-08-20,AMD,255025840000
2024-08-20,AMGN,177321063400
2024-08-20,AMZN,1924230048000
2024-08-20,APP,29085644940
2024-08-20,ARGX,32585769602
2024-08-20,ASML,356966434904
2024-08-20,AVGO,789520401000
2024-08-20,AXON,30068604825
2024-08-20,AZN,131242581081
2024-08-20,BKNG,114759496224
2024-08-20,BKR,33938680490
2024-08-20,CCEP,34247454860
2024-08-20,CDNS,77606347920
2024-08-20,CEG,68487937254
2024-08-20,CMCSA,142996321386
2024-08-20,CME,75623697200
2024-08-20,COHR,12456075519
2024-08-20,COIN,51967384797
2024-08-20,COST,388576299800
2024-08-20,CSCO,198017677519
2024-08-20,CSX,62396341200
2024-08-20,CTAS,77496469490
2024-08-20,DDOG,41326977014
2024-08-20,EA,37374436550
2024-08-20,EBAY,25281360000
2024-08-20,EQIX,81842306128
2024-08-20,EXC,38411233651
2024-08-20,FANG,53379141750
2024-08-20,FAST,38401938000
2024-08-20,FITB,36832519680
2024-08-20,FLEX,11541270951
2024-08-20,FTNT,55366238908
2024-08-20,GILD,92807348082
2024-08-20,GOOG,2047001507021
2024-08-20,GOOGL,2022020415584
2024-08-20,HON,63387489459
2024-08-20,HOOD,17857016292
2024-08-20,IBKR,51923135779
2024-08-20,IDXX,38968990336
2024-08-20,INTC,105495740000
2024-08-20,INTU,182525769360
2024-08-20,ISRG,171135103230
2024-08-20,JD,39574527300
2024-08-20,KDP,48612789899
2024-08-20,KLAC,106017684800
2024-08-20,LITE,4363802000
2024-08-20,LRCX,107911685300
2024-08-20,MAR,58836842450
2024-08-20,MCHP,43592682240
2024-08-20,MDLZ,91113460391
2024-08-20,MELI,101681310050
2024-08-20,META,1337063663197
2024-08-20,MNST,45682758818
2024-08-20,MPWR,44447419700
2024-08-20,MRVL,60786918060
2024-08-20,MSFT,3155597064000
2024-08-20,MU,121962826100
2024-08-20,NDAQ,39638768690
2024-08-20,NFLX,294124380000
2024-08-20,NTES,57598372753
2024-08-20,NTRA,16963816750
2024-08-20,NVDA,3082122250000
2024-08-20,NXPI,64132703488
2024-08-20,ODFL,41333696246
2024-08-20,ORLY,62236502433
2024-08-20,PANW,125404898545
2024-08-20,PAYX,44538900000
2024-08-20,PCAR,50360329253
2024-08-20,PDD,205282235875
2024-08-20,PEP,240211100000
2024-08-20,PYPL,63414563820
2024-08-20,QCOM,181403940000
2024-08-20,REGN,122825917868
2024-08-20,RKLB,3849468709
2024-08-20,ROST,47379364925
2024-08-20,RVMD,9216036600
2024-08-20,SBUX,106003497000
2024-08-20,SNPS,106659727848
2024-08-20,SNY,131706154097
2024-08-20,STX,23218912950
2024-08-20,TER,20621299000
2024-08-20,TMUS,212350209374
2024-08-20,TSLA,830389692000
2024-08-20,TTWO,28743056099
2024-08-20,TXN,184330236220
2024-08-20,VRTX,123697145596
2024-08-20,WBD,19480452175
2024-08-20,WDAY,60891061961
2024-08-20,WDC,16779119760
2024-08-20,XEL,37449930844
2024-08-21,AAPL,3325217398400
2024-08-21,ABNB,69844683743
2024-08-21,ADBE,224901525000
2024-08-21,ADI,110812301372
2024-08-21,ADP,107068827434
2024-08-21,ADSK,53221271967
2024-08-21,AEP,53327731050
2024-08-21,AMAT,166032706080
2024-08-21,AMD,257324986000
2024-08-21,AMGN,177644888200
2024-08-21,AMZN,1937461281000
2024-08-21,APP,30533544336
2024-08-21,ARGX,32679673135
2024-08-21,ASML,363684270488
2024-08-21,AVGO,788711612400
2024-08-21,AXON,30233839083
2024-08-21,AZN,132692646822
2024-08-21,BKNG,115859823601
2024-08-21,BKR,34176777050
2024-08-21,CCEP,34562139640
2024-08-21,CDNS,78486200960
2024-08-21,CEG,70649731415
2024-08-21,CMCSA,142674820788
2024-08-21,CME,75877346400
2024-08-21,COHR,12719310215
2024-08-21,COIN,54333251035
2024-08-21,COST,390891260180
2024-08-21,CSCO,198845378799
2024-08-21,CSX,62786550600
2024-08-21,CTAS,78324773780
2024-08-21,DDOG,41910751711
2024-08-21,EA,37549962250
2024-08-21,EBAY,26053920000
2024-08-21,EQIX,80673609358
2024-08-21,EXC,38748892338
2024-08-21,FANG,53764540560
2024-08-21,FAST,39125203200
2024-08-21,FITB,36868772160
2024-08-21,FLEX,11651187817
2024-08-21,FTNT,55256341649
2024-08-21,GILD,93279144634
2024-08-21,GOOG,2030888154722
2024-08-21,GOOGL,2005934238094
2024-08-21,HON,63815205312
2024-08-21,HOOD,18172193079
2024-08-21,IBKR,53041056888
2024-08-21,IDXX,39046295675
2024-08-21,INTC,107606660000
2024-08-21,INTU,183403823130
2024-08-21,ISRG,172626129460
2024-08-21,JD,37932022974
2024-08-21,KDP,48272650031
2024-08-21,KLAC,108042418800
2024-08-21,LITE,4387142000
2024-08-21,LRCX,109212278100
2024-08-21,MAR,59200732750
2024-08-21,MCHP,44966492480
2024-08-21,MDLZ,91267498363
2024-08-21,MELI,101772564978
2024-08-21,META,1358462570950
2024-08-21,MNST,45976161251
2024-08-21,MPWR,46533970800
2024-08-21,MRVL,62477146440
2024-08-21,MSFT,3150694300200
2024-08-21,MU,122346818700
2024-08-21,NDAQ,39723599840
2024-08-21,NFLX,293534868000
2024-08-21,NTES,59111431315
2024-08-21,NTRA,17459340650
2024-08-21,NVDA,3112398500000
2024-08-21,NXPI,64205920100
2024-08-21,ODFL,42196764621
2024-08-21,ORLY,62882900195
2024-08-21,PANW,122590256781
2024-08-21,PAYX,45171868000
2024-08-21,PCAR,50534003709
2024-08-21,PDD,207716243803
2024-08-21,PEP,239336860000
2024-08-21,PYPL,63035258458
2024-08-21,QCOM,183627880000
2024-08-21,REGN,122116096295
2024-08-21,RKLB,4052072325
2024-08-21,ROST,49384246650
2024-08-21,RVMD,9626346880
2024-08-21,SBUX,105741366000
2024-08-21,SNPS,108124544676
2024-08-21,SNY,132764034853
2024-08-21,STX,23418476760
2024-08-21,TER,21197374156
2024-08-21,TMUS,211527733789
2024-08-21,TSLA,838539604400
2024-08-21,TTWO,29719662746
2024-08-21,TXN,189636078410
2024-08-21,VRTX,123377350772
2024-08-21,WBD,19254809871
2024-08-21,WDAY,61166101172
2024-08-21,WDC,16937673480
2024-08-21,XEL,37431202758
2024-08-22,AAPL,3297752042680
2024-08-22,ABNB,68521148353
2024-08-22,ADBE,221582400000
2024-08-22,ADI,108089484824
2024-08-22,ADP,107680420885
2024-08-22,ADSK,52767309677
2024-08-22,AEP,53480080450
2024-08-22,AMAT,158950591800
2024-08-22,AMD,247362020000
2024-08-22,AMGN,175151437240
2024-08-22,AMZN,1894648023000
2024-08-22,APP,29898618615
2024-08-22,ARGX,32315252803
2024-08-22,ASML,349847764611
2024-08-22,AVGO,772345537200
2024-08-22,AXON,30039588077
2024-08-22,AZN,131436440138
2024-08-22,BKNG,116789677723
2024-08-22,BKR,34345428780
2024-08-22,CCEP,34708401580
2024-08-22,CDNS,76009373280
2024-08-22,CEG,70006938799
2024-08-22,CMCSA,140781539491
2024-08-22,CME,75957064720
2024-08-22,COHR,12414845988
2024-08-22,COIN,52278266998
2024-08-22,COST,389179431240
2024-08-22,CSCO,197938848826
2024-08-22,CSX,61745992200
2024-08-22,CTAS,78492835520
2024-08-22,DDOG,41156116127
2024-08-22,EA,36892994630
2024-08-22,EBAY,26204880000
2024-08-22,EQIX,80768288590
2024-08-22,EXC,38759124419
2024-08-22,FANG,53936141490
2024-08-22,FAST,38757830400
2024-08-22,FITB,37158792000
2024-08-22,FLEX,11563254324
2024-08-22,FTNT,54574978646
2024-08-22,GILD,94235153437
2024-08-22,GOOG,2004961407415
2024-08-22,GOOGL,1981139753993
2024-08-22,HON,63409667318
2024-08-22,HOOD,17911046598
2024-08-22,IBKR,53367833827
2024-08-22,IDXX,38789137098
2024-08-22,INTC,101022600000
2024-08-22,INTU,181981430730
2024-08-22,ISRG,173692160090
2024-08-22,JD,37398560031
2024-08-22,KDP,48531156331
2024-08-22,KLAC,104306458000
2024-08-22,LITE,4324902000
2024-08-22,LRCX,104510134900
2024-08-22,MAR,59097894187
2024-08-22,MCHP,43321178240
2024-08-22,MDLZ,90920912926
2024-08-22,MELI,100828076477
2024-08-22,META,1350263463947
2024-08-22,MNST,45457816953
2024-08-22,MPWR,44636078900
2024-08-22,MRVL,60130093560
2024-08-22,MSFT,3086884086500
2024-08-22,MU,117750201400
2024-08-22,NDAQ,39944160830
2024-08-22,NFLX,290124120000
2024-08-22,NTES,52510154722
2024-08-22,NTRA,17559591150
2024-08-22,NVDA,2997106540000
2024-08-22,NXPI,61946303943
2024-08-22,ODFL,41780828055
2024-08-22,ORLY,62302799639
2024-08-22,PANW,119087288581
2024-08-22,PAYX,45477684000
2024-08-22,PCAR,50144551899
2024-08-22,PDD,209509723328
2024-08-22,PEP,240060840000
2024-08-22,PYPL,63088184788
2024-08-22,QCOM,178126000000
2024-08-22,REGN,122355107332
2024-08-22,RKLB,3959453529
2024-08-22,ROST,48925529712
2024-08-22,RVMD,9196902960
2024-08-22,SBUX,105342471000
2024-08-22,SNPS,104942158311
2024-08-22,SNY,132788077597
2024-08-22,STX,23147159670
2024-08-22,TER,20538331654
2024-08-22,TMUS,212588294411
2024-08-22,TSLA,791179975200
2024-08-22,TTWO,29465299418
2024-08-22,TXN,185449650610
2024-08-22,VRTX,121798681084
2024-08-22,WBD,18803525265
2024-08-22,WDAY,60529581854
2024-08-22,WDC,16679161980
2024-08-22,XEL,37406231975
2024-08-23,AAPL,3331679835040
2024-08-23,ABNB,69352067432
2024-08-23,ADBE,221924250000
2024-08-23,ADI,111245808837
2024-08-23,ADP,107768362427
2024-08-23,ADSK,53896936770
2024-08-23,AEP,53458316250
2024-08-23,AMAT,160911670530
2024-08-23,AMD,252710388000
2024-08-23,AMGN,177455990400
2024-08-23,AMZN,1904436984000
2024-08-23,APP,30301746057
2024-08-23,ARGX,32131798881
2024-08-23,ASML,349674326515
2024-08-23,AVGO,791471008800
2024-08-23,AXON,29879189944
2024-08-23,AZN,131475211949
2024-08-23,BKNG,118726873811
2024-08-23,BKR,34940670180
2024-08-23,CCEP,34894553140
2024-08-23,CDNS,75546002400
2024-08-23,CEG,70021302880
2024-08-23,CMCSA,142246153325
2024-08-23,CME,75025809800
2024-08-23,COHR,12587692867
2024-08-23,COIN,55695336609
2024-08-23,COST,389911171590
2024-08-23,CSCO,199988394851
2024-08-23,CSX,62600736600
2024-08-23,CTAS,78880978110
2024-08-23,DDOG,41729212019
2024-08-23,EA,37015862620
2024-08-23,EBAY,26142720000
2024-08-23,EQIX,81656892632
2024-08-23,EXC,38667035686
2024-08-23,FANG,54917923860
2024-08-23,FAST,39090762000
2024-08-23,FITB,38173861440
2024-08-23,FLEX,12065208013
2024-08-23,FTNT,54750814259
2024-08-23,GILD,95253240733
2024-08-23,GOOG,2028465094226
2024-08-23,GOOGL,2003152417927
2024-08-23,HON,64151041464
2024-08-23,HOOD,19018667881
2024-08-23,IBKR,53058255674
2024-08-23,IDXX,38505158302
2024-08-23,INTC,103234040000
2024-08-23,INTU,169551909450
2024-08-23,ISRG,172318007650
2024-08-23,JD,37665291502
2024-08-23,KDP,48612789899
2024-08-23,KLAC,106827578400
2024-08-23,LITE,4603426000
2024-08-23,LRCX,105973301800
2024-08-23,MAR,59398499217
2024-08-23,MCHP,44412624320
2024-08-23,MDLZ,91434372832
2024-08-23,MELI,101410080126
2024-08-23,META,1340287460688
2024-08-23,MNST,45624078332
2024-08-23,MPWR,45999927700
2024-08-23,MRVL,62915029440
2024-08-23,MSFT,3096095339700
2024-08-23,MU,116157761500
2024-08-23,NDAQ,39785809350
2024-08-23,NFLX,289155636000
2024-08-23,NTES,52401623095
2024-08-23,NTRA,17573912650
2024-08-23,NVDA,3133470770000
2024-08-23,NXPI,63781768688
2024-08-23,ODFL,42377697027
2024-08-23,ORLY,61689550481
2024-08-23,PANW,119523455828
2024-08-23,PAYX,46228000000
2024-08-23,PCAR,50765569649
2024-08-23,PDD,199090461322
2024-08-23,PEP,240238420000
2024-08-23,PYPL,63246963776
2024-08-23,QCOM,182869000000
2024-08-23,REGN,123535739441
2024-08-23,RKLB,4028917626
2024-08-23,ROST,49788430806
2024-08-23,RVMD,9277689440
2024-08-23,SBUX,107154594000
2024-08-23,SNPS,103282032572
2024-08-23,SNY,135144266553
2024-08-23,STX,23411749890
2024-08-23,TER,21280341502
2024-08-23,TMUS,214904212503
2024-08-23,TSLA,827460230400
2024-08-23,TTWO,29593409416
2024-08-23,TXN,191010318840
2024-08-23,VRTX,122141318396
2024-08-23,WBD,20182450451
2024-08-23,WDAY,68091850455
2024-08-23,WDC,16758438840
2024-08-23,XEL,37531085887
2024-08-26,AAPL,3336673536080
2024-08-26,ABNB,68675461896
2024-08-26,ADBE,222377400000
2024-08-26,ADI,109891706869
2024-08-26,ADP,108467897421
2024-08-26,ADSK,54097524759
2024-08-26,AEP,53877277100
2024-08-26,AMAT,155798574570
2024-08-26,AMD,244573694000
2024-08-26,AMGN,176365780240
2024-08-26,AMZN,1887871050000
2024-08-26,APP,30197604801
2024-08-26,ARGX,32179683464
2024-08-26,ASML,340443565630
2024-08-26,AVGO,759404919600
2024-08-26,AXON,29056242738
2024-08-26,AZN,135623795752
2024-08-26,BKNG,117719531845
2024-08-26,BKR,35149004670
2024-08-26,CCEP,35023086360
2024-08-26,CDNS,73987642000
2024-08-26,CEG,69985392678
2024-08-26,CMCSA,143782211736
2024-08-26,CME,75525861080
2024-08-26,COHR,12595621623
2024-08-26,COIN,53745736368
2024-08-26,COST,395809442290
2024-08-26,CSCO,200185466585
2024-08-26,CSX,62563573800
2024-08-26,CTAS,79397167740
2024-08-26,DDOG,41554791530
2024-08-26,EA,37251568560
2024-08-26,EBAY,26196000000
2024-08-26,EQIX,80763357380
2024-08-26,EXC,38851213152
2024-08-26,FANG,55497428640
2024-08-26,FAST,38998918800
2024-08-26,FITB,38010725280
2024-08-26,FLEX,11889341027
2024-08-26,FTNT,55080506035
2024-08-26,GILD,95551217503
2024-08-26,GOOG,2034522745466
2024-08-26,GOOGL,2009683647885
2024-08-26,HON,64585093848
2024-08-26,HOOD,18874587064
2024-08-26,IBKR,53453827758
2024-08-26,IDXX,38184893326
2024-08-26,INTC,101173380000
2024-08-26,INTU,168805153440
2024-08-26,ISRG,169711367970
2024-08-26,JD,36219326156
2024-08-26,KDP,49157013687
2024-08-26,KLAC,104371772000
2024-08-26,LITE,4388698000
2024-08-26,LRCX,102409177300
2024-08-26,MAR,59242922929
2024-08-26,MCHP,43603542400
2024-08-26,MDLZ,91639756795
2024-08-26,MELI,101632640755
2024-08-26,META,1322823108928
2024-08-26,MNST,46240223441
2024-08-26,MPWR,44818842500
2024-08-26,MRVL,60270216120
2024-08-26,MSFT,3071581520700
2024-08-26,MU,111707964900
2024-08-26,NDAQ,39921539190
2024-08-26,NFLX,289871472000
2024-08-26,NTES,52663375842
2024-08-26,NTRA,16915123650
2024-08-26,NVDA,3062987660000
2024-08-26,NXPI,63077374377
2024-08-26,ODFL,41410644511
2024-08-26,ORLY,61896729251
2024-08-26,PANW,118283105220
2024-08-26,PAYX,46295564000
2024-08-26,PCAR,50455060774
2024-08-26,PDD,142339644900
2024-08-26,PEP,240375020000
2024-08-26,PYPL,63546879644
2024-08-26,QCOM,178642460000
2024-08-26,REGN,123561494941
2024-08-26,RKLB,3901566782
2024-08-26,ROST,49467649730
2024-08-26,RVMD,9366979760
2024-08-26,SBUX,108989511000
2024-08-26,SNPS,100700891285
2024-08-26,SNY,135288523020
2024-08-26,STX,23490230040
2024-08-26,TER,20820107546
2024-08-26,TMUS,216906291228
2024-08-26,TSLA,800757061200
2024-08-26,TTWO,29777219412
2024-08-26,TXN,189526867250
2024-08-26,VRTX,122496645978
2024-08-26,WBD,20633735057
2024-08-26,WDAY,68201866139
2024-08-26,WDC,16327586340
2024-08-26,XEL,38367607096
2024-08-27,AAPL,3349157788680
2024-08-27,ABNB,69286780933
2024-08-27,ADBE,225708450000
2024-08-27,ADI,112926259122
2024-08-27,ADP,109799012580
2024-08-27,ADSK,54262218054
2024-08-27,AEP,53616106700
2024-08-27,AMAT,155433353430
2024-08-27,AMD,245405300000
2024-08-27,AMGN,176446736440
2024-08-27,AMZN,1862269152000
2024-08-27,APP,30335340010
2024-08-27,ARGX,32128689493
2024-08-27,ASML,342975761831
2024-08-27,AVGO,767825836200
2024-08-27,AXON,29293212844
2024-08-27,AZN,132599594475
2024-08-27,BKNG,120307625818
2024-08-27,BKR,35119242600
2024-08-27,CCEP,35453007820
2024-08-27,CDNS,74175196880
2024-08-27,CEG,70434270203
2024-08-27,CMCSA,143746489447
2024-08-27,CME,76964414400
2024-08-27,COHR,12603550379
2024-08-27,COIN,52244017264
2024-08-27,COST,403078063100
2024-08-27,CSCO,199870151811
2024-08-27,CSX,62396341200
2024-08-27,CTAS,79989385300
2024-08-27,DDOG,41298500200
2024-08-27,EA,37414556710
2024-08-27,EBAY,26360280000
2024-08-27,EQIX,80672623116
2024-08-27,EXC,38554482791
2024-08-27,FANG,54774454230
2024-08-27,FAST,38849673600
2024-08-27,FITB,37802273520
2024-08-27,FLEX,11805071430
2024-08-27,FTNT,55659298264
2024-08-27,GILD,95600880298
2024-08-27,GOOG,2015744026622
2024-08-27,GOOGL,1991783239851
2024-08-27,HON,65301121869
2024-08-27,HOOD,19234789107
2024-08-27,IBKR,54657742798
2024-08-27,IDXX,38065779997
2024-08-27,INTC,100871820000
2024-08-27,INTU,171321693840
2024-08-27,ISRG,170830523050
2024-08-27,JD,37033559069
2024-08-27,KDP,49483547960
2024-08-27,KLAC,106174438400
2024-08-27,LITE,4471944000
2024-08-27,LRCX,102596762800
2024-08-27,MAR,60020804367
2024-08-27,MCHP,43951067520
2024-08-27,MDLZ,91460045828
2024-08-27,MELI,103230108960
2024-08-27,META,1317695494021
2024-08-27,MNST,46543405955
2024-08-27,MPWR,46450449800
2024-08-27,MRVL,61049647860
2024-08-27,MSFT,3074181471200
2024-08-27,MU,110522105400
2024-08-27,NDAQ,40181688050
2024-08-27,NFLX,292945356000
2024-08-27,NTES,53327334029
2024-08-27,NTRA,17224468050
2024-08-27,NVDA,3107554300000
2024-08-27,NXPI,63807015796
2024-08-27,ODFL,40108763059
2024-08-27,ORLY,62302799639
2024-08-27,PANW,119332632657
2024-08-27,PAYX,46263560000
2024-08-27,PCAR,49660368568
2024-08-27,PDD,136517953424
2024-08-27,PEP,239459800000
2024-08-27,PYPL,63149932172
2024-08-27,QCOM,183322220000
2024-08-27,REGN,123807717518
2024-08-27,RKLB,3542668947
2024-08-27,ROST,49185362383
2024-08-27,RVMD,9267059640
2024-08-27,SBUX,112374420000
2024-08-27,SNPS,99910081677
2024-08-27,SNY,135408736742
2024-08-27,STX,22582102590
2024-08-27,TER,21130061027
2024-08-27,TMUS,220802228205
2024-08-27,TSLA,785734181200
2024-08-27,TTWO,29851486077
2024-08-27,TXN,191747494170
2024-08-27,VRTX,121902741305
2024-08-27,WBD,20332878653
2024-08-27,WDAY,69330836616
2024-08-27,WDC,16368948180
2024-08-27,XEL,38011773448
2024-08-28,AAPL,3326539260440
2024-08-28,ABNB,69755656699
2024-08-28,ADBE,222814650000
2024-08-28,ADI,110651562650
2024-08-28,ADP,108999544016
2024-08-28,ADSK,53761803810
2024-08-28,AEP,53616106700
2024-08-28,AMAT,153146751510
2024-08-28,AMD,238654616000
2024-08-28,AMGN,177828388920
2024-08-28,AMZN,1837312680000
2024-08-28,APP,29562679080
2024-08-28,ARGX,32274830752
2024-08-28,ASML,342301280347
2024-08-28,AVGO,752554004400
2024-08-28,AXON,29214222809
2024-08-28,AZN,134638991747
2024-08-28,BKNG,120826794370
2024-08-28,BKR,34682732240
2024-08-28,CCEP,35515058340
2024-08-28,CDNS,72564431440
2024-08-28,CEG,69583198415
